Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Streetscene,Equipment and Materials Purcha,MACHINE MART WEB,02/12/2015,6236,152.38
Streetscene,Equipment and Materials Purcha,MACHINE MART WEB,10/12/2015,6332,114.73
Children's Family Services,Training,MAG EVENTS,20/11/2015,6083,775
Children's Family Services,Training,MAG EVENTS,20/11/2015,6085,125
Children's Family Services,Subscriptions,MAGSUBCRIPTIONS COM,01/02/2016,6902,93.5
Children's Service DSG,Subscriptions,MAGSUBCRIPTIONS COM,22/07/2015,4746,112.2
Children's Education & Skills,Food Costs,MAJESTIC WINE,18/05/2015,3136,339.6
Children's Education & Skills,Food Costs,MAJESTIC WINE,19/05/2015,3142,96
Children's Education & Skills,Food Costs,MAJESTIC WINE,27/05/2015,3227,-96
Children's Education & Skills,Food Costs,MAJESTIC WINE,27/05/2015,3233,-112
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE,21/05/2015,5679,53.96
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE,19/10/2015,5669,55.46
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE,22/05/2015,3181,51.97
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,02/06/2015,3287,52.75
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,05/02/2016,6969,117.49
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,09/11/2015,5933,105.5
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,11/08/2015,4955,86.92
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,11/09/2015,5293,107.29
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,14/12/2015,6360,126.46
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,15/01/2016,6675,152.66
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,15/12/2015,6388,25.78
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,16/11/2015,6015,43.14
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,20/11/2015,6080,61.73
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,21/12/2015,6472,25.78
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,23/02/2016,7178,123.52
Children's Family Services,Cleaning and domestic material,MAKRO SELF SERVICE ENF,30/11/2015,6166,32.38
Children's Family Services,Food Costs,MAKRO SELF SERVICE ENF,14/12/2015,6360,13.63
Children's Family Services,Food Costs,MAKRO SELF SERVICE ENF,15/01/2016,6675,5
Children's Family Services,Food Costs,MAKRO SELF SERVICE ENF,21/12/2015,6472,91.93
Assurance,Subsistence,MANUELS000000000000,21/05/2015,5721,4.7
Children's Family Services,Equipment and Materials Repair,MARCO BEVERAGE SYSTEMS,05/06/2015,4150,180
Assurance,Miscellaneous Expenses,MARKS & SPENCER,28/07/2015,4816,25
Assurance,Miscellaneous Expenses,MARKS & SPENCER,28/07/2015,4818,25
Children's Family Services,Food Costs,MARKS & SPENCER,09/12/2015,6320,29.8
Children's Family Services,Food Costs,MARKS & SPENCER,14/12/2015,6358,7.5
Children's Family Services,Food Costs,MARKS & SPENCER,20/11/2015,6081,8
Children's Family Services,Food Costs,MARKS & SPENCER,20/11/2015,6088,3.4
Children's Family Services,Food Costs,MARKS & SPENCER,22/05/2015,3186,16.75
Children's Family Services,Travelling Expenses,MARKS & SPENCER,20/11/2015,6088,0
Children's Family Services,Miscellaneous Expenses,MARSTON GROUP,30/10/2015,5809,325
Assurance,Miscellaneous Expenses,MCDONALDS,23/06/2015,4400,3.9
Children's Family Services,Food Costs,MCDONALDS,01/06/2015,3280,14.51
Children's Family Services,Food Costs,MCDONALDS,02/02/2016,6932,8.58
Children's Family Services,Food Costs,MCDONALDS,03/02/2016,6948,7.08
Children's Family Services,Food Costs,MCDONALDS,04/08/2015,4881,4.58
Children's Family Services,Food Costs,MCDONALDS,09/02/2016,7025,4.99
Children's Family Services,Food Costs,MCDONALDS,10/08/2015,4935,13.93
Children's Family Services,Food Costs,MCDONALDS,14/03/2016,7424,15.85
Children's Family Services,Food Costs,MCDONALDS,16/06/2015,4296,19.12
Children's Family Services,Food Costs,MCDONALDS,16/11/2015,6025,3.99
Children's Family Services,Food Costs,MCDONALDS,19/02/2016,7138,13.38
Children's Family Services,Food Costs,MCDONALDS,19/06/2015,4355,7.76
Children's Family Services,Food Costs,MCDONALDS,22/10/2015,5712,13.45
Children's Family Services,Food Costs,MCDONALDS,25/09/2015,5433,8.89
Children's Family Services,Food Costs,MCDONALDS,29/05/2015,3259,13.44
Children's Family Services,Food Costs,MCDONALDS,29/06/2015,4463,22.31
Children's Family Services,Food Costs,MCDONALDS,30/06/2015,4486,9.88
Assurance,Other Indirect Employee Expens,ME LONDON,06/11/2015,5902,211
Assurance,Other Indirect Employee Expens,ME LONDON,22/10/2015,5710,100
Commissioning,Building Repairs & Maintenance,MET PARKING SERVICES L,02/06/2015,3298,"1,740.00"
Assurance,Miscellaneous Expenses,MIDDLESEX UNIVERSITY H,01/02/2016,6891,1.02
Assurance,Miscellaneous Expenses,MIDDLESEX UNIVERSITY H,05/08/2015,4889,0.84
Assurance,Miscellaneous Expenses,MIDDLESEX UNIVERSITY H,20/01/2016,6748,0.84
Assurance,Miscellaneous Expenses,MIDDLESEX UNIVERSITY H,25/05/2015,3201,6.4
Assurance,Miscellaneous Expenses,MIDDLESEX UNIVERSITY H,25/05/2015,3202,3.08
Assurance,Miscellaneous Expenses,MIDDLESEX UNIVERSITY H,25/06/2015,4431,1.17
Assurance,Miscellaneous Expenses,MIDDLESEX UNIVERSITY H,28/07/2015,4815,0.84
Assurance,Miscellaneous Expenses,MIDDLESEX UNIVERSITY H,29/07/2015,4834,20.97
Assurance,Other Indirect Employee Expens,MIDDLESEX UNIVERSITY H,13/08/2015,4984,9.17
Assurance,Other Indirect Employee Expens,MIDDLESEX UNIVERSITY H,29/05/2015,3253,3.38
Children's Family Services,Books-CDs-Audio-Video,MIDDLESEX UNIVERSITY H,10/02/2016,7037,3.5
Children's Family Services,Cleaning and domestic material,MIDDLESEX UNIVERSITY H,13/01/2016,6648,1.28
Children's Family Services,Miscellaneous Expenses,MILTON KEYNES COUNCIL,05/08/2015,4896,26
Children's Education & Skills,Equipment and Materials Repair,MIXREPAIRS LTD,18/01/2016,6694,108.36
Children's Family Services,Food Costs,MORRISONS STORES,08/02/2016,7005,11.98
Children's Family Services,Food Costs,MORRISONS STORES,17/06/2015,4326,65.44
Children's Family Services,Food Costs,MORRISONS STORES,26/06/2015,4445,13.34
Children's Family Services,Other Transfer Payments to Soc,MORRISONS STORES,02/09/2015,5203,8.41
Children's Family Services,Other Transfer Payments to Soc,MORRISONS STORES,03/03/2016,7323,8.97
Children's Family Services,Other Transfer Payments to Soc,MORRISONS STORES,23/12/2015,6525,5
Children's Family Services,Food Costs,MOTO BURGER KING - WES,21/12/2015,6465,13.98
Children's Family Services,Food Costs,MOTO WETHERBY BK,06/07/2015,4546,16.05
Children's Family Services,Food Costs,MR P K PATEL,27/01/2016,6825,5.7
Children's Family Services,Publications,MR P K PATEL,30/06/2015,4481,151
Children's Family Services,Publications,MR P K PATEL,30/10/2015,5814,156.6
Children's Family Services,Travelling Expenses,MR P K PATEL,27/08/2015,5140,17.1
Commissioning,Equipment and Materials Purcha,MYFONTS,09/11/2015,5919,39.99
Commissioning,Equipment and Materials Purcha,MYFONTS,16/11/2015,6021,35.99
Commissioning,Equipment and Materials Purcha,MYFONTS,18/12/2015,6452,38.98
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP000,21/05/2015,5849,20
Children's Family Services,Food Costs,NANDOS EDINBURGH OMNI,30/06/2015,4475,30.5
Children's Family Services,Food Costs,NANDOS FINCHLEY,25/08/2015,5117,34.3
Children's Service DSG,Subscriptions,NAS UK,05/11/2015,5898,60
Children's Service DSG,Training,NAS UK,05/11/2015,5899,175
Children's Family Services,Travelling Expenses,NATIONAL EXPRESS LIMIT,03/08/2015,4859,21
Children's Family Services,Travelling Expenses,NATIONAL EXPRESS LIMIT,10/09/2015,5289,15
Children's Family Services,Travelling Expenses,NATIONAL EXPRESS LIMIT,11/06/2015,4239,29.5
Children's Family Services,Travelling Expenses,NATIONAL EXPRESS LIMIT,22/06/2015,4378,29.5
Children's Family Services,Travelling Expenses,NATIONAL EXPRESS LIMIT,23/07/2015,4772,15
Children's Family Services,Travelling Expenses,NATIONAL EXPRESS LIMIT,25/02/2016,7220,20.2
Children's Family Services,Travelling Expenses,NATIONAL EXPRESS LIMIT,25/05/2015,3206,25.4
Children's Family Services,Travelling Expenses,NATIONAL EXPRESS LIMIT,27/01/2016,6835,49.8
Children's Family Services,Miscellaneous Expenses,NATIONALITY DIRECTORAT,01/01/2016,6555,162
Children's Family Services,Miscellaneous Expenses,NCC INCOME,20/05/2015,3157,75.8
Children's Family Services,Travelling Expenses,NCP LIMITED P&D,02/02/2016,6930,6
Children's Family Services,Training,NCS CIMA VUE EXAM,02/11/2015,5838,53
Children's Family Services,Other Services,NELSON DISH & GLAS,23/10/2015,5739,723.6
Children's Family Services,Equipment and Materials Purcha,NEVER NEVER LAND,08/02/2016,7002,80
Children's Family Services,Other Transfer Payments to Soc,NEW LOOK /1422/,30/11/2015,6167,24.99
Children's Family Services,Other Transfer Payments to Soc,NEW LOOK RETAILERS LTD,16/10/2015,5656,39.99
Children's Service DSG,Other Establishments - Third P,NORDOFF-ROBBINS,14/08/2015,5000,300
Children's Education & Skills,Miscellaneous Expenses,NORTH LONDON BUS.,07/05/2015,3072,36
Children's Education & Skills,Miscellaneous Expenses,NORTH LONDON BUS.,08/07/2015,4602,15
Children's Education & Skills,Miscellaneous Expenses,NORTH LONDON BUS.,21/05/2015,3177,72
Children's Education & Skills,Transport Hire Charges,NORTH LONDON BUS.,17/06/2015,4319,36
Children's Education & Skills,Venue Hire,NORTH LONDON BUS.,07/08/2015,4915,60
Children's Family Services,Venue Hire,NORTH LONDON BUS.,03/12/2015,6262,37.5
Children's Family Services,Venue Hire,NORTH LONDON BUS.,06/11/2015,5908,40
Children's Family Services,Venue Hire,NORTH LONDON BUS.,18/01/2016,6690,60
Children's Education & Skills,Venue Hire,NORTH LONDON BUS.00,21/05/2015,5775,36
Children's Education & Skills,Consumable Catering Supplies,NORTHFIELDS,27/10/2015,5779,162
Children's Family Services,Equipment and Materials Purcha,OFSTED INTERNET,14/07/2015,4654,183.33
Children's Family Services,Equipment and Materials Purcha,OPENANDUSEB4,31/08/2015,5184,12.5
Children's Service DSG,Equipment and Materials Purcha,OPTIMUS PROF PUBLISHIN,11/09/2015,5300,69
Children's Service DSG,Equipment and Materials Purcha,OPTIMUS PROF PUBLISHIN,14/07/2015,4656,300
Children's Family Services,Equipment and Materials Purcha,OSCARS DEN,22/06/2015,4371,90
Children's Family Services,Postage,OSIDGE PK 10359,24/08/2015,5087,6.48
Children's Family Services,Training,OXFORD BROOKES UNI,24/07/2015,4795,500
Adults and Communities,Miscellaneous Expenses,OYSTER AUTOSETTLE,15/06/2015,4289,16.67
Adults and Communities,Miscellaneous Expenses,OYSTER AUTOSETTLE,22/05/2015,3184,33.33
Children's Family Services,Travelling Expenses,OYSTER AUTOSETTLE,05/08/2015,4894,20
Children's Family Services,Travelling Expenses,OYSTER AUTOSETTLE,13/11/2015,6010,40
Children's Family Services,Travelling Expenses,OYSTER AUTOSETTLE,14/09/2015,5303,20
Adults and Communities,Miscellaneous Expenses,OYSTER AUTOTOPUP,01/02/2016,6896,16.67
Children's Family Services,Books-CDs-Audio-Video,OYSTER AUTOTOPUP,09/02/2016,7017,20
Children's Family Services,Books-CDs-Audio-Video,OYSTER AUTOTOPUP,13/11/2015,6008,20
Children's Family Services,Books-CDs-Audio-Video,OYSTER AUTOTOPUP,22/12/2015,6506,20
Children's Family Services,Books-CDs-Audio-Video,OYSTER AUTOTOPUP,23/10/2015,5738,20
Children's Family Services,Books-CDs-Audio-Video,OYSTER AUTOTOPUP,27/11/2015,6161,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,02/02/2016,6925,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,03/08/2015,4870,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,06/08/2015,4905,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,07/03/2016,7351,40
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,07/09/2015,5238,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,07/12/2015,6293,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,08/02/2016,6995,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,09/11/2015,5923,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,10/08/2015,4950,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,11/05/2015,3090,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,13/07/2015,4630,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,14/03/2016,7440,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,14/03/2016,7441,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,14/07/2015,4653,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,15/02/2016,7085,16.67
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,15/10/2015,5644,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,16/07/2015,4672,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,17/07/2015,4677,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,17/08/2015,5029,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,18/12/2015,6462,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,21/09/2015,5373,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,21/09/2015,5375,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,22/01/2016,6782,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,22/05/2015,3185,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,22/06/2015,4376,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,23/06/2015,4396,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,23/10/2015,5740,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,23/11/2015,6095,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,25/01/2016,6800,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,26/11/2015,6154,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,27/07/2015,4805,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,28/12/2015,6545,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,29/02/2016,7255,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,29/06/2015,4453,20
Streetscene,Equipment and Materials Purcha,OYSTER AUTOTOPUP,03/02/2016,6939,20
Streetscene,Equipment and Materials Purcha,OYSTER AUTOTOPUP,03/07/2015,4541,20
Streetscene,Equipment and Materials Purcha,OYSTER AUTOTOPUP,11/02/2016,7055,20
Streetscene,Equipment and Materials Purcha,OYSTER AUTOTOPUP,21/09/2015,5367,20
Adults and Communities,Travelling Expenses,OYSTER AUTOTOPUP000,21/05/2015,5744,40
Children's Family Services,Books-CDs-Audio-Video,OYSTER BUS AUTOSET,06/10/2015,5552,20
Children's Family Services,Books-CDs-Audio-Video,OYSTER BUS AUTOSET,21/09/2015,5372,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOSET,24/08/2015,5108,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOSET,27/08/2015,5157,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOSET,28/05/2015,3244,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOSET,29/05/2015,3255,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOSET,29/05/2015,3256,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOSET,29/06/2015,4465,20
Streetscene,Equipment and Materials Purcha,OYSTER BUS AUTOSET,18/05/2015,3132,20
Adults and Communities,Miscellaneous Expenses,OYSTER BUS AUTOTOP,05/02/2016,6978,16.67
Adults and Communities,Miscellaneous Expenses,OYSTER BUS AUTOTOP,14/12/2015,6372,33.33
Adults and Communities,Miscellaneous Expenses,OYSTER BUS AUTOTOP,15/10/2015,5642,16.67
Adults and Communities,Miscellaneous Expenses,OYSTER BUS AUTOTOP,16/10/2015,5661,33.33
Adults and Communities,Miscellaneous Expenses,OYSTER BUS AUTOTOP,19/10/2015,5677,16.67
Adults and Communities,Miscellaneous Expenses,OYSTER BUS AUTOTOP,23/11/2015,6117,16.67
Adults and Communities,Miscellaneous Expenses,OYSTER BUS AUTOTOP,29/01/2016,6870,33.33
Children's Family Services,Books-CDs-Audio-Video,OYSTER BUS AUTOTOP,07/12/2015,6290,20
Children's Family Services,Books-CDs-Audio-Video,OYSTER BUS AUTOTOP,15/02/2016,7080,20
Children's Family Services,Other Indirect Employee Expens,OYSTER BUS AUTOTOP,02/02/2016,6907,16.67
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,01/01/2016,6556,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,01/02/2016,6897,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,01/03/2016,7272,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,02/12/2015,6238,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,02/12/2015,6251,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,03/02/2016,6940,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,03/02/2016,6950,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,03/08/2015,4860,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,03/08/2015,4876,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,03/12/2015,6256,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,03/12/2015,6259,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,04/01/2016,6557,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,04/02/2016,6962,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,04/06/2015,4145,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,05/02/2016,6976,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,05/10/2015,5537,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,05/10/2015,5540,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,05/10/2015,5546,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,06/11/2015,5907,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,06/11/2015,5909,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,07/09/2015,5246,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,07/09/2015,5252,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,08/01/2016,6605,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,08/02/2016,7001,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,08/06/2015,4191,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,08/06/2015,4192,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,09/07/2015,4608,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,09/07/2015,4613,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,09/10/2015,5590,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,10/07/2015,4622,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,10/08/2015,4943,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,10/08/2015,4949,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,10/09/2015,5290,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,11/01/2016,6622,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,11/01/2016,6626,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,11/01/2016,6630,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,11/02/2016,7063,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,11/03/2016,7416,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,13/07/2015,4635,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,13/07/2015,4636,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,14/03/2016,7438,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,14/09/2015,5313,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,14/12/2015,6366,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,14/12/2015,6374,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,15/03/2016,7462,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,15/06/2015,4288,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,16/10/2015,5662,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,16/10/2015,5664,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,17/03/2016,7500,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,17/08/2015,5024,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,17/09/2015,5352,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,17/11/2015,6043,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,18/02/2016,7129,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,18/05/2015,3138,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,19/02/2016,7148,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,19/11/2015,6072,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,20/07/2015,4708,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,20/11/2015,6084,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/01/2016,6759,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/01/2016,6760,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/03/2016,7536,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/07/2015,4716,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/08/2015,5084,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/09/2015,5380,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/12/2015,6485,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,22/01/2016,6770,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,22/01/2016,6775,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,22/01/2016,6776,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,22/02/2016,7157,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,22/06/2015,4379,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,23/11/2015,6103,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,23/11/2015,6112,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,23/11/2015,6116,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,24/03/2016,7578,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,24/03/2016,7590,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,24/08/2015,5098,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,24/08/2015,5100,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,24/08/2015,5109,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,24/12/2015,6537,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,25/01/2016,6799,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,25/05/2015,3203,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,25/05/2015,3210,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,26/10/2015,5765,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,26/10/2015,5767,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,27/07/2015,4806,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,28/01/2016,6850,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,28/08/2015,5168,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,28/08/2015,5170,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,28/08/2015,5173,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,28/09/2015,5452,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,29/01/2016,6874,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,29/02/2016,7254,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,29/06/2015,4472,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,30/10/2015,5817,20
Children's Family Services,Other Indirect Employee Expens,OYSTER ISSUE WEB,22/09/2015,5385,12.5
Children's Family Services,Travelling Expenses,OYSTER ISSUE WEB,05/08/2015,4895,25
Children's Family Services,Travelling Expenses,OYSTER ISSUE WEB,18/03/2016,7509,20.83
Children's Family Services,Travelling Expenses,OYSTER ISSUE WEB,18/03/2016,7510,20.83
Adults and Communities,Miscellaneous Expenses,OYSTER RENEW WEB,26/11/2015,6152,16.67
Children's Family Services,Equipment and Materials Purcha,OYSTER RENEW WEB,25/08/2015,5123,50
Children's Family Services,Other Indirect Employee Expens,OYSTER RENEW WEB,02/11/2015,5823,41.67
Children's Family Services,E19 - Learning Resources,PACEY COMMERCIAL SERVI,11/11/2015,5966,1.66
Children's Service DSG,Subscriptions,PACEY COMMERCIAL SERVI,25/01/2016,6801,80
Children's Family Services,Miscellaneous Expenses,PACK & SEND HARROW,12/08/2015,4965,459
Children's Family Services,Other Transfer Payments to Soc,PAK COSMETIC CENTR,03/03/2016,7322,3.99
Children's Family Services,Equipment and Materials Purcha,PANDORA BOOKS,17/09/2015,5349,223.33
Children's Family Services,Other Agencies - Third Party P,PAPA JOHNS,25/09/2015,5425,14.98
Children's Family Services,Stationery,PAPERSTONE,16/11/2015,6024,77.96
Children's Family Services,Food Costs,PARENTPAY.COM,15/05/2015,3117,20
Children's Family Services,Other Transfer Payments to Soc,PARENTPAY.COM,11/06/2015,4228,10
Children's Family Services,Travelling Expenses,PARKEON DEMO 45,23/11/2015,6109,3.2
Children's Education & Skills,Travelling Expenses,PARKING - OFFSTREE,20/10/2015,5694,0.6
Children's Education & Skills,Travelling Expenses,PARKING - OFFSTREE,22/09/2015,5393,1.4
Children's Education & Skills,Travelling Expenses,PARKING - ON-STREE,03/06/2015,3310,1.1
Children's Education & Skills,Travelling Expenses,PARKING - ON-STREE,14/10/2015,5633,2.1
Children's Family Services,Other Agencies - Third Party P,PARKINGEYE LTD,21/08/2015,5079,3.5
Children's Service DSG,Training,PARTICIPANT UK LIMITED,21/07/2015,4719,190
