Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",08/05/2015,3082,62.43
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",08/09/2015,5264,9.98
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",09/11/2015,5940,4.9
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",10/09/2015,5284,56.14
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",11/08/2015,4960,63.75
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",11/11/2015,5975,0.96
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",12/05/2015,3102,37.46
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",12/06/2015,4253,2.71
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",15/06/2015,4291,19.37
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",15/06/2015,4294,63.97
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",17/06/2015,4327,4.75
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",18/02/2016,7136,34.2
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",18/06/2015,4346,166.62
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",19/08/2015,5066,100
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",22/06/2015,4382,32.92
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",22/07/2015,4734,16.2
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",24/07/2015,4787,5.49
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",24/09/2015,5422,4.96
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",25/05/2015,3207,46.6
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",25/05/2015,3214,44.95
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",26/05/2015,3219,7.52
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",26/05/2015,3220,61.25
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",26/08/2015,5137,20.98
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",28/05/2015,3241,25.98
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",28/05/2015,3251,28.57
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",30/04/2015,3035,149.98
Children's Family Services,Other Agencies - Third Party P,"AMAZON SVCS EUROPE,SAR",22/07/2015,4737,8.99
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",02/02/2016,6920,20.25
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",05/08/2015,4890,5.19
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",09/11/2015,5920,104.49
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",10/07/2015,4619,8.32
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",22/07/2015,4738,239.92
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",23/06/2015,4401,12.98
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",23/06/2015,4402,33.98
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",23/06/2015,4405,23.4
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",23/06/2015,4417,22.95
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",25/05/2015,3209,11.64
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",25/06/2015,4433,1.49
Children's Family Services,Other Services,"AMAZON SVCS EUROPE,SAR",27/05/2015,3229,3.45
Children's Family Services,Other Transfer Payments to Soc,"AMAZON SVCS EUROPE,SAR",24/06/2015,4421,0.93
Children's Family Services,Publications,"AMAZON SVCS EUROPE,SAR",05/11/2015,5891,6.99
Children's Family Services,Stationery,"AMAZON SVCS EUROPE,SAR",05/10/2015,5535,7.72
Children's Family Services,Stationery,"AMAZON SVCS EUROPE,SAR",12/06/2015,4260,12
Children's Family Services,Stationery,"AMAZON SVCS EUROPE,SAR",13/05/2015,3105,41.94
Children's Family Services,Stationery,"AMAZON SVCS EUROPE,SAR",25/11/2015,6139,9.66
